date,site,Hs,Td,dir,Ta,temp
10/3/07,San Diego,0.87,14.29,232,8.41,20.6
10/4/07,San Diego,0.92,12.5,249,6.7,20.5
10/5/07,San Diego,1.31,7.14,270,6.34,19.6
10/6/07,San Diego,2.52,7.69,294,6.74,19
10/7/07,San Diego,1.36,16.67,194,5.72,18.8
10/8/07,San Diego,0.97,15.38,196,7.5,19.1
10/9/07,San Diego,0.82,13.33,199,7.52,19.2
10/10/07,San Diego,0.94,13.33,193,5.72,19.1
10/11/07,San Diego,1.14,13.33,255,6.9,19
10/12/07,San Diego,1.41,12.5,265,6.94,19.4
10/13/07,San Diego,1.03,15.38,203,7.03,19.2
10/14/07,San Diego,1.34,15.38,194,7.86,19
10/15/07,San Diego,1.02,12.5,269,6.94,18.8
10/16/07,San Diego,0.86,12.5,220,6.35,18.3
10/17/07,San Diego,1.53,7.69,286,5.84,17.8
10/18/07,San Diego,1.33,7.69,280,6.27,18.4
10/19/07,San Diego,1.33,16.67,277,7.55,18
10/20/07,San Diego,1.26,14.29,246,6.31,18.4
10/21/07,San Diego,1.72,18.18,232,7.94,18.2
10/22/07,San Diego,1.63,15.38,204,10.48,18.4
10/23/07,San Diego,1.09,15.38,186,10.26,18
10/24/07,San Diego,1.01,15.38,179,10.99,18
10/25/07,San Diego,0.94,13.33,179,10.85,18.7
10/26/07,San Diego,0.98,11.76,235,8.72,18.6
10/27/07,San Diego,0.98,11.11,204,7.24,18.5
10/28/07,San Diego,0.94,16.67,185,6.33,18.3
10/29/07,San Diego,0.98,15.38,185,7.17,18.5
10/30/07,San Diego,1.04,14.29,190,6.63,18.4
10/31/07,San Diego,1.06,18.18,224,7.08,18
11/1/07,San Diego,1.07,12.5,252,6.76,16.8
11/2/07,San Diego,0.98,15.38,217,8.02,18.1
11/3/07,San Diego,0.9,14.29,238,8.51,17.9
11/4/07,San Diego,1.02,18.18,221,8.92,18.4
11/5/07,San Diego,0.99,15.38,241,8.3,18.2
11/6/07,San Diego,1.16,20,213,9.44,18.1
11/7/07,San Diego,1.14,18.18,208,9.39,17.9
